package_name,dependents
lodash,69147
chalk,39816
request,35681
commander,32077
react,30604
express,27420
debug,23285
async,22704
fs-extra,22493
moment,21387
prop-types,20455
react-dom,20411
bluebird,18381
underscore,16870
vue,15993
axios,15622
tslib,15590
mkdirp,15042
glob,13086
yargs,12895
colors,12754
inquirer,12573
webpack,12544
uuid,11587
classnames,11355
minimist,11310
body-parser,11207
rxjs,11010
babel-runtime,10719
jquery,10708
yeoman-generator,9969
through2,9652
babel-core,9509
core-js,9369
semver,8746
babel-loader,8658
cheerio,8333
rimraf,7765
q,7716
eslint,7674
css-loader,7659
shelljs,7601
dotenv,7448
typescript,7203
@types/node,7194
@angular/core,7037
js-yaml,6983
style-loader,6971
winston,6736
@angular/common,6453
redux,6430
object-assign,6428
zone.js,6396
babel-eslint,6366
gulp,6317
gulp-util,6279
file-loader,6150
ora,6066
node-fetch,5892
@angular/platform-browser,5881
@babel/runtime,5814
handlebars,5809
eslint-plugin-import,5805
@angular/compiler,5718
eslint-plugin-react,5626
aws-sdk,5599
yosay,5498
url-loader,5486
@angular/forms,5486
webpack-dev-server,5447
@angular/platform-browser-dynamic,5424
mocha,5362
html-webpack-plugin,5329
socket.io,5288
ws,5255
babel-preset-es2015,5242
postcss-loader,5129
node-sass,5121
ember-cli-babel,5118
babel-polyfill,5116
@angular/router,5036
ramda,5016
react-redux,4995
@babel/core,4921
@angular/http,4918
ejs,4893
coffee-script,4880
superagent,4845
request-promise,4756
autoprefixer,4746
path,4700
mongodb,4664
chai,4622
mongoose,4597
xml2js,4506
bootstrap,4490
jest,4290
sass-loader,4287
redis,4248
vue-router,4235
chokidar,4230
co,4190
eslint-plugin-jsx-a11y,4161
nan,4128
optimist,4097
promise,4089
@angular/animations,4020
postcss,3903
morgan,3897
less,3884
immutable,3858
qs,3790
loader-utils,3777
fs,3744
extract-text-webpack-plugin,3743
marked,3727
mime,3726
@alifd/next,3700
meow,3692
styled-components,3680
resolve,3646
reflect-metadata,3611
babel-preset-react,3574
jsonwebtoken,3571
react-router-dom,3538
extend,3518
cookie-parser,3513
whatwg-fetch,3487
babel-preset-env,3366
babel-jest,3361
mysql,3336
joi,3332
minimatch,3308
eslint-loader,3290
react-dev-utils,3256
node-uuid,3234
es6-promise,3230
cross-spawn,3189
case-sensitive-paths-webpack-plugin,3169
uglify-js,3160
cors,3073
eslint-plugin-flowtype,3062
react-router,3024
@babel/preset-env,2994
deepmerge,2957
socket.io-client,2928
npm,2896
webpack-manifest-plugin,2883
koa,2810
isomorphic-fetch,2794
babel-cli,2785
del,2747
postcss-flexbugs-fixes,2725
compression,2717
update-notifier,2706
babel-preset-react-app,2655
jade,2645
prompt,2561
gulp-rename,2554
angular,2550
underscore.string,2538
graphql,2517
execa,2485
browserify,2485
opn,2477
validator,2445
eslint-config-react-app,2433
vuex,2429
prettier,2411
invariant,2408
jsdom,2402
@types/react,2370
redux-thunk,2357
mini-css-extract-plugin,2339
globby,2328
pg,2307
got,2257
ajv,2252
xtend,2246
ember-cli-htmlbars,2238
babel-plugin-transform-runtime,2234
nodemailer,2224
source-map-support,2223
express-session,2205
d3,2199
less-loader,2163
fsevents,2146
babel-preset-stage-0,2108
download-git-repo,2100
query-string,2086
font-awesome,2082
open,2082
passport,2066
@types/lodash,2062
grunt,2059
path-to-regexp,2037
mustache,2036
inherits,2017
tmp,2017
md5,2007
dotenv-expand,1990
crypto-js,1982
request-promise-native,1973
through,1956
connect,1954
raf,1947
react-scripts,1943
readable-stream,1930
highlight.js,1921
@babel/polyfill,1918
progress,1915
optimize-css-assets-webpack-plugin,1912
iconv-lite,1900
bunyan,1898
gulp-uglify,1876
koa-router,1853
ncp,1853
lodash.merge,1842
lru-cache,1838
moment-timezone,1820
figlet,1810
history,1802
readline-sync,1782
pluralize,1780
url,1761
log4js,1743
cli-table,1736
webpack-merge,1728
archiver,1724
babel-register,1715
eslint-config-airbnb,1696
clone,1683
jsonfile,1682
puppeteer,1678
shortid,1658
@babel/plugin-proposal-class-properties,1647
querystring,1625
serve-static,1622
tslint,1619
pug,1619
config,1618
source-map,1615
antd,1614
concat-stream,1607
element-ui,1607
lodash.get,1606
@babel/preset-react,1598
serve-favicon,1592
stylus,1591
date-fns,1587
esprima,1569
sequelize,1566
babel-plugin-transform-object-rest-spread,1564
bindings,1563
events,1561
graceful-fs,1560
normalize.css,1548
crypto,1523
cross-env,1518
mime-types,1512
event-stream,1510
hoist-non-react-statics,1504
gulp-concat,1493
terser-webpack-plugin,1491
json-loader,1490
warning,1475
bignumber.js,1460
eventemitter3,1455
webpack-cli,1450
strip-ansi,1449
cli-color,1441
form-data,1428
web3,1423
gulp-sourcemaps,1423
webpack-dev-middleware,1416
ip,1416
camelcase,1416
sw-precache-webpack-plugin,1411
merge,1411
http-proxy,1411
react-transition-group,1393
multer,1379
deep-equal,1378
browser-sync,1378
babel,1373
dateformat,1370
postcss-preset-env,1370
uglifyjs-webpack-plugin,1367
@polymer/polymer,1364
sinon,1357
eslint-config-prettier,1357
gulp-sass,1354
identity-obj-proxy,1352
ts-loader,1351
react-hot-loader,1350
sqlite3,1333
popper.js,1330
which,1326
markdown-it,1325
tar,1320
vue-template-compiler,1319
babel-plugin-transform-class-properties,1319
js-beautify,1313
log-symbols,1306
webpack-hot-middleware,1295
rollup,1282
copy-webpack-plugin,1278
nodemon,1277
boom,1274
xmldom,1274
recompose,1262
util,1261
ini,1255
pify,1255
command-line-args,1240
vinyl,1234
mz,1216
lodash.debounce,1204
html-minifier,1203
ts-node,1200
nconf,1193
recursive-readdir,1192
vue-loader,1189
@types/express,1186
datafire,1185
@types/react-dom,1168
babel-plugin-transform-decorators-legacy,1165
clean-css,1164
hoek,1163
cookie,1162
@babel/plugin-transform-runtime,1160
when,1159
babel-plugin-named-asset-import,1156
postcss-safe-parser,1148
bcrypt,1146
@material-ui/core,1145
@babel/plugin-syntax-dynamic-import,1135
nunjucks,1133
eslint-plugin-promise,1128
react-native,1127
lodash.isequal,1125
workbox-webpack-plugin,1122
acorn,1122
amqplib,1120
@svgr/webpack,1117
color,1112
ms,1110
js-cookie,1109
temp,1108
simple-git,1098
cssnano,1090
reselect,1089
yamljs,1088
ioredis,1088
koa-static,1088
react-app-polyfill,1087
react-select,1086
escape-string-regexp,1081
firebase,1076
bn.js,1075
escodegen,1070
react-bootstrap,1067
babelify,1056
helmet,1053
nopt,1045
eslint-plugin-prettier,1042
jest-resolve,1038
knex,1038
pnp-webpack-plugin,1036
gulp-if,1031
assert,1029
global,1029
npmlog,1025
backbone,1022
graphql-tag,1018
raw-loader,1018
run-sequence,1010
lodash.clonedeep,1004
@oclif/command,1001
http-proxy-middleware,1001
gulp-babel,998
@oclif/config,998
vinyl-fs,997
lodash.throttle,997
passport-local,996
eventemitter2,992
mqtt,989
unique-random-array,989
buffer,984
redux-saga,984
react-router-redux,983
jszip,982
koa-bodyparser,982
async-validator,979
babel-preset-stage-2,976
node-notifier,971
eslint-config-airbnb-base,970
material-ui,964
validate-npm-package-name,962
clean-webpack-plugin,958
hammerjs,952
redux-logger,949
htmlparser2,947
html-loader,944
filesize,943
gulp-plumber,941
consolidate,939
pkginfo,938
serialport,933
clear,932
should,932
json5,931
change-case,929
@babel/plugin-proposal-object-rest-spread,928
eslint-plugin-node,918
app-root-path,914
create-react-class,911
postcss-import,911
@angular/cdk,907
webpack-bundle-analyzer,903
JSONStream,898
pump,897
babylon,895
mobx,893
adm-zip,890
deep-extend,883
rc,879
http,874
@angular/material,873
eslint-config-standard,872
eslint-plugin-standard,869
once,864
numeral,863
@typescript-eslint/parser,863
prismjs,862
hapi,860
url-parse,858
@babel/cli,857
eslint-plugin-react-hooks,854
plugin-error,854
@typescript-eslint/eslint-plugin,850
require-dir,850
gulp-autoprefixer,850
url-join,847
istanbul,845
echarts,844
bower,840
resize-observer-polyfill,837
bcryptjs,837
lodash.assign,836
gm,835
babel-plugin-add-module-exports,831
diff,830
argparse,826
react-helmet,826
stylelint,823
string,821
protobufjs,819
find-up,819
esm,818
sprintf-js,816
rollup-plugin-node-resolve,816
configstore,816
download,815
traverse,814
websocket,813
codemirror,812
bs58,808
googleapis,808
method-override,807
formidable,807
tape,805
karma,804
json-stringify-safe,803
elasticsearch,803
split,799
safe-buffer,797
rsvp,794
@oclif/plugin-help,788
github,786
xlsx,780
tinycolor2,779
lodash-es,778
@babel/plugin-proposal-decorators,776
connect-history-api-fallback,776
@material-ui/icons,769
jsonschema,767
portfinder,764
fbjs,764
boxen,761
css,761
elliptic,759
sharp,759
http-errors,758
co-prompt,757
walk,756
restify,754
three,753
metalsmith,752
json-stable-stringify,752
webpack-node-externals,746
requirejs,744
regenerator-runtime,740
xmlbuilder,740
unzip,734
path-exists,732
rollup-plugin-commonjs,725
throttle-debounce,722
user-home,721
cron,720
xmlhttprequest,719
faker,716
systemjs,714
inflection,714
canvas,712
get-stdin,709
babel-types,708
read-pkg-up,705
graphql-tools,705
@types/jest,703
escape-html,700
broccoli-merge-trees,700
ssh2,699
sax,699
child_process,695
leaflet,691
wrench,690
rx,689
ethereumjs-util,687
jimp,687
enzyme,685
prettyjson,684
image-size,684
bfj,683
micromatch,680
gulp-watch,679
redux-actions,678
lit-element,677
discord.js,670
gulp-less,667
jshint,667
vinyl-source-stream,665
send,663
mysql2,659
@types/jquery,653
user,652
slash,652
es6-shim,649
watch,649
debounce,647
d3-scale,647
babel-helper-vue-jsx-merge-props,647
file-saver,644
pull-stream,643
lodash.omit,642
koa-compose,638
chart.js,637
gulp-replace,633
shallowequal,633
cli-spinner,633
object-path,632
react-intl,632
mobx-react,631
webpack-sources,631
flat,630
methods,629
jasmine,629
jest-watch-typeahead,629
react-dnd,628
object-hash,627
eslint-plugin-babel,626
parse5,626
friendly-errors-webpack-plugin,625
gulp-template,622
broccoli-funnel,622
@emotion/core,619
lodash.pick,614
listr,614
text-table,612
babel-plugin-transform-es2015-modules-commonjs,612
lodash.set,609
watchify,608
estraverse,607
unist-util-visit,606
@fortawesome/fontawesome-svg-core,605
@angular/compiler-cli,604
strip-json-comments,601
randomstring,599
node-emoji,598
react-addons-css-transition-group,597
clui,596
babel-plugin-import,596
tslint-react,596
errorhandler,595
blessed,594
electron,593
eslint-plugin-jest,593
bytes,592
deasync,590
vue-hot-reload-api,590
swig,588
jest-pnp-resolver,588
node-schedule,588
rollup-plugin-babel,587
figures,585
oauth,583
nedb,583
detect-port,583
liftoff,582
@types/fs-extra,581
get-port,580
stylelint-config-standard,578
gulp-imagemin,574
husky,574
@babel/register,573
gulp-install,573
gzip-size,573
node-gyp,572
node-forge,571
grunt-contrib-clean,571
pm2,570
plist,569
polished,568
@fortawesome/free-solid-svg-icons,567
ts-jest,567
react-test-renderer,566
grunt-contrib-watch,566
loglevel,564
on-finished,563
fs-promise,563
levelup,563
nomnom,560
@angular-devkit/core,560
react-dnd-html5-backend,560
react-motion,560
command-line-usage,559
readline,558
grunt-contrib-uglify,556
csv-parse,555
js-base64,554
level,553
dayjs,552
parseurl,551
babel-preset-stage-1,550
read,550
lodash.defaults,550
requireindex,546
tough-cookie,546
cli,545
emotion,545
map-stream,544
fancy-log,544
gulp-load-plugins,542
svgo,542
cross-fetch,542
is-plain-object,541
source-map-loader,540
@octokit/rest,538
multimatch,537
pretty-bytes,537
urijs,535
i18next,534
@babel/types,534
html-entities,533
cosmiconfig,532
pino,532
verror,531
gulp-notify,529
merge-stream,529
npm-run-all,529
stylus-loader,527
@babel/preset-typescript,526
grpc,525
he,524
supports-color,524
vue-style-loader,524
create-hash,523
touch,523
csv,520
tslint-config-prettier,520
lodash.camelcase,519
log-update,519
lodash.isplainobject,519
apollo-client,518
gulp-conflict,518
@types/cordova,516
mathjs,516
inversify,515
react-dropzone,515
yargs-parser,514
babel-traverse,514
babel-plugin-syntax-dynamic-import,512
raw-body,511
@babel/runtime-corejs2,511
sync-request,510
@types/jasmine,510
valid-url,509
react-tap-event-plugin,507
babel-plugin-transform-react-remove-prop-types,506
draft-js,505
cuid,504
slug,504
bcrypt-nodejs,504
@babel/parser,504
jwt-decode,503
postcss-cssnext,502
react-icons,502
install,502
basic-auth,501
memory-fs,500
d3-selection,500
@angular-devkit/schematics,500
es6-promisify,500
react-modal,499
redux-form,499
lodash.uniq,498
gulp-postcss,498
karma-chrome-launcher,498
fast-glob,496
file-type,495
child-process-promise,494
babel-plugin-transform-react-jsx,493
phantomjs-prebuilt,493
@angular/platform-server,493
brfs,491
tar-fs,488
clipboard,487
nyc,486
phantomjs,484
vinyl-buffer,484
clipboardy,483
lodash.isfunction,482
btoa,481
rxjs-compat,478
fork-ts-checker-webpack-plugin,478
@types/request,476
recast,476
d3-array,476
gulp-jshint,475
base-64,475
make-dir,475
https,474
sanitize-filename,473
bip39,472
vue-class-component,471
needle,471
keycode,470
grunt-contrib-copy,469
selenium-webdriver,469
opener,468
common-tags,467
is-wsl,467
koa-body,466
lodash.isstring,465
lodash.template,465
nodegit,465
command-exists,464
fstream,463
node-cache,463
node-watch,462
convert-source-map,460
@types/uuid,460
imagemin,460
gulp-filter,460
vue-property-decorator,459
gaze,459
supertest,458
stack-trace,457
gulp-clean-css,457
chance,455
gulp-typescript,455
lowdb,455
generic-pool,455
assert-plus,455
eslint-plugin-vue,455
gulp-minify-css,454
is-url,454
urllib,453
babel-generator,450
immer,449
sha1,449
grunt-contrib-jshint,449
mockjs,449
node.extend,449
connect-redis,448
babel-plugin-module-resolver,447
prompts,447
memoize-one,446
shell-quote,446
hyperquest,446
https-proxy-agent,445
long,445
chai-as-promised,444
secp256k1,444
http-server,444
utf8,443
type-is,443
vorpal,440
rollup-pluginutils,439
finalhandler,439
tweetnacl,438
apollo-link,437
coveralls,437
d3-shape,436
postcss-normalize,433
showdown,433
promise-polyfill,433
node-pre-gyp,432
path-is-absolute,432
@fortawesome/react-fontawesome,432
preact,432
crc,431
babel-plugin-transform-async-to-generator,430
osenv,430
hiredis,429
lodash.isempty,428
@babel/traverse,428
serve-index,426
lodash.map,426
highland,425
localforage,425
winston-daily-rotate-file,425
deep-diff,424
passport-oauth,424
passport-strategy,423
iview,423
dom-helpers,423
tildify,423
ethereumjs-tx,423
babel-template,422
leveldown,422
gulp-eslint,421
rc-util,421
depd,421
content-type,421
nanoid,420
babel-plugin-syntax-jsx,420
bl,419
read-pkg,419
markdown,418
jest-environment-jsdom-fourteen,418
react-error-overlay,418
serialize-javascript,418
nprogress,416
accepts,416
bizcharts,412
require-all,411
base64-js,411
component-emitter,410
connect-flash,410
koa-logger,409
react-color,409
findup-sync,409
passport-oauth2,408
dockerode,408
enzyme-adapter-react-16,408
etag,408
immutability-helper,407
grunt-cli,406
front-matter,406
mssql,406
react-native-vector-icons,406
react-virtualized,405
fork-ts-checker-webpack-plugin-alt,405
slugify,405
node-dir,404
babel-plugin-transform-regenerator,404
keypress,404
@types/bluebird,403
lodash.foreach,403
grunt-contrib-concat,403
split2,402
extend-shallow,402
@phosphor/widgets,402
xregexp,401
awesome-typescript-loader,401
hash-sum,401
apollo-link-http,400
babel-preset-stage-3,399
restler,398
lodash.flatten,398
react-apollo,398
intl,398
babel-plugin-dynamic-import-node,397
uglify-es,396
react-lifecycles-compat,395
lint-staged,395
@babel/plugin-proposal-export-default-from,394
normalize-wheel,394
is-promise,393
pako,393
pngjs,393
utils-merge,392
gray-matter,392
postcss-nested,391
pretty-error,391
rc-slider,391
node-static,391
decompress,389
gh-pages,389
cli-table2,389
os,388
reactstrap,387
sanitize-html,387
extract-zip,387
gulp-shell,387
vue-i18n,387
@types/mocha,386
http-status-codes,386
hogan.js,385
quill,384
soap,382
randombytes,382
decamelize,381
bson,381
imagemin-pngquant,380
arrify,380
bytebuffer,379
xml2json,377
lodash.isobject,377
columnify,377
fluent-ffmpeg,376
xml-js,375
sockjs-client,374
@emotion/styled,374
resolve-from,373
es6-error,373
react-slick,373
typeorm,373
sprintf,372
apollo-cache-inmemory,372
babel-plugin-lodash,372
hexlet-pairs,371
pretty-ms,370
pouchdb,369
md5-file,369
react-markdown,368
is,368
yeoman-environment,368
progress-bar-webpack-plugin,368
left-pad,367
stylelint-order,366
follow-redirects,366
stylelint-scss,365
koa-mount,365
busboy,363
sinon-chai,363
jasmine-core,363
loose-envify,363
process,363
envify,363
bufferutil,362
normalize-url,362
angular-animate,361
tv4,361
karma-mocha,360
karma-phantomjs-launcher,360
ts-pnp,360
atob,360
connect-mongo,359
@jupyterlab/application,359
@babel/plugin-proposal-export-namespace-from,357
http-status,357
bulma,357
cli-ux,356
iniparser,356
nock,356
object.assign,356
flux,356
semantic-ui-react,355
fastclick,355
karma-jasmine,355
fuse.js,354
inert,354
jwt-simple,354
isobject,353
jsdoc,353
element-resize-detector,353
react-datepicker,352
standard,352
react-onclickoutside,352
react-addons-shallow-compare,352
dot,351
browserslist,351
firebase-admin,350
nib,350
fuzzy,349
word-wrap,349
ansi-colors,349
tracer,349
yaml,348
ansi-escapes,348
jquery-ui,348
raven,347
i,347
xhr,347
deep-assign,346
inquirer-autocomplete-prompt,346
xpath,346
fresh,346